P,L,H,B,t,Fy,fc
1086.0,420.0,140.0,105.0,2.86,228.0,50.77027165701234
1251.0,450.0,150.0,115.0,2.86,228.0,50.77027165701234
1218.0,450.0,150.0,115.0,2.86,228.0,50.77027165701234
1820.0,480.0,160.0,120.0,7.6,194.0,50.77027165701234
1770.0,480.0,160.0,120.0,7.6,194.0,50.77027165701234
1490.0,300.0,100.3,98.2,4.18,550.0,61.70612495847943
1535.0,300.0,101.5,100.6,4.18,550.0,61.70612495847943
1740.0,300.0,101.2,101.1,4.18,550.0,72.61066994822788
1775.0,300.0,100.7,100.4,4.18,550.0,72.61066994822788
3590.0,540.0,182.8,181.2,4.18,550.0,61.70612495847943
4210.0,540.0,181.8,180.4,4.18,550.0,72.61066994822788
1153.0,444.0,148.0,148.0,4.38,262.0,25.4
1414.0,444.0,148.0,148.0,4.38,262.0,40.5
1402.0,444.0,148.0,148.0,4.38,262.0,40.5
2108.0,444.0,148.0,148.0,4.38,262.0,77.0
2424.0,645.0,215.0,215.0,4.38,262.0,41.1
3837.0,645.0,215.0,215.0,4.38,262.0,80.3
4950.0,969.0,323.0,323.0,4.38,262.0,41.1
2572.0,432.0,144.0,144.0,6.36,618.0,25.4
2808.0,432.0,144.0,144.0,6.36,618.0,40.5
2765.0,432.0,144.0,144.0,6.36,618.0,40.5
3399.0,432.0,144.0,144.0,6.36,618.0,77.0
3920.0,633.0,211.0,211.0,6.36,618.0,25.4
4428.0,633.0,211.0,211.0,6.36,618.0,40.5
4484.0,633.0,211.0,211.0,6.36,618.0,40.5
5758.0,633.0,211.0,211.0,6.36,618.0,77.0
7780.0,957.0,319.0,319.0,6.36,618.0,41.1
2819.0,360.0,120.0,120.0,6.47,835.0,25.4
2957.0,360.0,120.0,120.0,6.47,835.0,40.5
2961.0,360.0,120.0,120.0,6.47,835.0,40.5
3318.0,357.0,119.0,119.0,6.47,835.0,77.0
4210.0,525.0,175.0,175.0,6.47,835.0,25.4
4493.0,525.0,175.0,175.0,6.47,835.0,40.5
4542.0,525.0,175.0,175.0,6.47,835.0,40.5
5366.0,525.0,175.0,175.0,6.47,835.0,77.0
6546.0,795.0,265.0,265.0,6.47,835.0,25.4
7172.0,795.0,265.0,265.0,6.47,835.0,41.1
3183.0,630.0,210.0,210.0,5.48,294.0,39.1
4773.0,633.0,211.0,211.0,5.48,294.0,91.1
2713.0,630.0,210.0,210.0,4.5,277.0,39.1
4371.0,633.0,211.0,211.0,4.5,277.0,91.1
5898.0,633.0,211.0,211.0,8.83,536.0,39.1
7008.0,633.0,211.0,211.0,8.83,536.0,91.1
4026.0,612.0,204.0,204.0,5.95,540.0,39.1
5303.0,612.0,204.0,204.0,5.95,540.0,91.1
6803.0,540.0,180.0,180.0,9.45,825.0,39.1
7402.0,540.0,180.0,180.0,9.45,825.0,91.1
5028.0,540.0,180.0,180.0,6.6,824.0,39.1
5873.0,540.0,180.0,180.0,6.6,824.0,91.1
865.05,300.0,125.0,125.0,3.2,299.0,36.072228714704
1164.5,300.0,125.0,125.0,4.5,293.0,36.072228714704
1444.0,300.0,125.0,125.0,6.0,285.0,36.072228714704
1115.8,300.0,125.0,125.0,3.2,299.0,51.14759602168834
1313.0,300.0,125.0,125.0,4.5,293.0,51.14759602168834
1512.7,300.0,125.0,125.0,6.0,285.0,51.14759602168834
1310.0,300.0,101.3,101.3,4.97,347.3,54.24650620213519
1340.0,300.0,103.6,103.6,4.9,347.3,54.24650620213519
2160.0,420.0,142.0,142.0,5.11,347.3,54.24650620213519
2250.0,420.0,142.0,142.0,5.08,347.3,54.24650620213519
2280.0,420.0,142.0,142.0,5.07,347.3,54.24650620213519
1360.0,420.0,142.1,142.1,3.02,255.1,48.89847796241356
1328.0,420.0,143.1,143.1,3.02,255.1,48.89847796241356
1328.0,420.0,142.1,142.1,2.01,305.1,48.89847796241356
1364.0,420.0,142.1,142.1,2.01,305.1,48.89847796241356
1280.0,420.0,140.9,140.9,2.02,305.1,48.89847796241356
1500.0,300.0,103.5,103.5,5.01,347.3,67.10743431588337
1330.0,300.0,102.1,102.1,4.97,347.3,67.10743431588337
1440.0,300.0,101.9,101.9,5.03,347.3,67.10743431588337
2520.0,420.0,142.3,142.3,5.09,347.3,67.10743431588337
1920.0,420.0,141.5,141.5,3.08,255.1,67.10743431588337
1855.0,420.0,142.3,142.3,2.01,305.1,67.10743431588337
1780.0,420.0,140.5,140.5,2.0,305.1,67.10743431588337
1701.0,360.0,120.0,120.0,4.0,495.0,60.0
1657.0,360.0,120.0,120.0,4.0,495.0,60.0
2020.0,390.0,130.0,130.0,4.0,495.0,60.0
2018.0,390.0,130.0,130.0,4.0,495.0,60.0
1749.0,320.0,106.0,106.0,4.0,495.0,89.0
1824.0,320.0,106.0,106.0,4.0,495.0,89.0
2752.0,420.0,140.0,140.0,4.0,495.0,89.0
2828.0,420.0,140.0,140.0,4.0,495.0,89.0
2580.0,480.0,160.0,125.0,4.0,495.0,89.0
2674.0,480.0,160.0,125.0,4.0,495.0,89.0
3230.0,750.0,250.4,249.0,2.5,234.3,51.24196354707794
1150.0,390.0,129.1,128.2,2.5,234.3,53.13233251013172
1788.0,553.0,180.0,180.0,1.49,222.7,49.45149246165572
1300.0,463.0,150.0,150.0,1.45,222.7,49.45149246165572
916.0,372.0,120.0,120.0,1.49,222.7,48.10749002480028
353.0,240.0,80.2,80.2,1.588,279.9,34.21853814664585
347.0,240.0,80.9,80.9,1.601,279.9,34.21853814664585
510.0,330.0,110.0,110.0,1.538,279.9,34.21853814664585
522.0,330.0,109.8,109.8,1.53,279.9,34.21853814664585
1771.0,450.0,149.3,149.3,3.625,283.6,44.52951079906236
1785.0,450.0,149.3,149.3,3.625,283.6,44.52951079906236
4080.0,750.0,250.0,250.0,2.5,342.0,58.0731710000143
4040.0,750.0,250.0,250.0,2.5,342.0,58.0731710000143
2480.0,570.0,190.0,190.0,2.5,342.0,58.0731710000143
2430.0,570.0,190.0,190.0,2.5,342.0,58.0731710000143
3495.0,750.0,250.0,250.0,2.5,270.0,49.82798955647359
2140.0,570.0,190.0,190.0,2.5,270.0,49.82798955647359
1150.0,480.0,160.0,160.0,2.5,221.0,33.42411209323223
2060.0,660.0,220.0,220.0,2.5,221.0,35.70594673369268
3350.0,840.0,280.0,280.0,2.5,202.0,39.29051279384487
16500.0,1500.0,500.0,500.0,10.0,389.0,42.5
17900.0,1500.0,500.0,500.0,12.0,378.0,42.5
12800.0,1230.0,410.0,410.0,12.0,378.0,42.5
15300.0,1230.0,410.0,410.0,16.0,358.0,42.5
3131.0,750.0,249.6,249.6,3.7,324.3,33.24213237353336
2832.0,750.0,251.0,251.0,3.75,324.3,33.24213237353336
2677.0,750.0,251.1,251.1,3.73,324.3,33.24213237353336
2820.0,450.0,150.0,150.0,4.0,434.6,87.88385614075929
2950.0,450.0,150.0,150.0,4.0,430.0,87.88385614075929
2980.0,450.0,150.0,150.0,5.0,416.3,87.88385614075929
3035.0,450.0,150.0,150.0,5.0,420.0,87.88385614075929
3257.0,450.0,150.0,150.0,6.0,430.0,87.88385614075929
3435.0,450.0,150.0,150.0,6.0,436.9,87.88385614075929
3318.0,600.0,200.0,200.0,4.0,464.0,47.29134416890847
6100.0,900.0,300.0,300.0,4.0,464.0,47.29134416890847
5958.0,900.0,300.0,300.0,3.0,414.0,47.29134416890847
8619.0,900.0,300.0,300.0,8.0,424.0,47.29134416890847
2185.0,600.0,200.0,200.0,2.01,301.0,49.87506848792074
2630.0,600.0,200.0,200.0,3.49,315.0,49.87506848792074
2348.0,375.0,125.0,125.0,5.0,701.0,21.0
2828.0,450.0,150.0,150.0,5.0,701.0,21.0
2203.0,330.0,110.0,110.0,5.0,701.0,54.5
2234.0,330.0,110.0,110.0,5.0,701.0,54.5
2942.0,420.0,140.0,140.0,5.0,701.0,54.5
2840.0,420.0,140.0,140.0,5.0,701.0,54.5
3882.0,570.0,180.0,180.0,5.0,701.0,54.5
3856.0,570.0,180.0,180.0,5.0,701.0,54.5
3230.0,60.0,203.0,102.0,8.275,488.38,47.01018780302734
3500.0,453.0,150.0,150.0,8.275,488.38,35.79748711596089
3575.0,451.0,152.0,150.0,8.275,488.38,47.01018780302734
4370.0,900.0,300.0,300.0,3.75,311.0,32.24279272508895
5570.0,900.0,300.0,300.0,3.7,311.0,48.98120882555639
1636.0,285.0,74.04,74.04,4.91,762.0,100.0
2520.0,360.0,99.56,99.56,4.91,762.0,100.0
2632.0,360.0,99.2,99.2,4.93,762.0,100.0
3023.0,435.0,124.43,124.43,4.93,762.0,100.0
2962.0,435.0,124.94,124.94,4.94,762.0,100.0
4115.0,510.0,149.99,149.99,4.92,762.0,100.0
3968.0,510.0,149.87,149.87,4.92,762.0,100.0
6536.0,450.0,150.0,150.0,8.0,779.0,146.208
8585.0,450.0,150.0,150.0,12.0,756.0,146.208
8452.0,450.0,150.0,150.0,12.0,756.0,150.912
8730.0,450.0,150.0,150.0,12.0,756.0,157.536
5953.0,450.0,150.0,150.0,12.5,446.0,146.208
5911.0,450.0,150.0,150.0,12.5,446.0,150.912
6039.0,450.0,150.0,150.0,12.5,446.0,141.12
6409.0,450.0,150.0,150.0,12.5,446.0,157.536
6285.0,450.0,150.0,150.0,12.5,446.0,142.08
2730.0,600.0,197.0,197.0,6.4,437.88,20.90410098031026
3010.0,600.0,198.5,198.5,6.1,437.88,20.23262383911332
2830.0,600.0,200.5,200.5,6.3,437.88,19.06887343278906
3980.0,600.0,201.0,201.0,10.3,381.68,20.90410098031026
3920.0,600.0,201.0,201.0,10.0,381.68,20.23262383911332
3900.0,600.0,199.5,199.5,10.1,381.68,19.06887343278906
2160.0,600.0,200.0,200.0,3.69,311.0,28.81160320006019
2090.0,600.0,201.0,201.0,3.74,311.0,28.81160320006019
2890.0,700.0,300.0,201.0,3.75,311.0,28.81160320006019
2910.0,700.0,297.0,203.0,3.72,311.0,28.81160320006019
3470.0,800.0,401.0,200.0,3.68,311.0,28.81160320006019
2500.0,600.0,200.0,200.0,3.75,311.0,46.26113069702981
2610.0,600.0,200.0,200.0,3.74,311.0,46.26113069702981
4020.0,700.0,301.0,201.0,3.69,311.0,46.26113069702981
4810.0,800.0,402.0,200.0,3.69,311.0,48.98120882555639
4842.0,900.0,300.0,300.0,6.0,334.0,27.9
4771.0,900.0,300.0,300.0,6.0,334.0,27.9
11779.0,1500.0,500.0,500.0,10.0,302.0,27.9
11838.0,1500.0,500.0,500.0,10.0,302.0,27.9
5322.0,900.0,300.0,300.0,2.0,176.7,53.32168166495804
5664.0,900.0,300.0,300.0,3.0,356.1,53.32168166495804
6498.0,900.0,300.0,300.0,6.0,317.5,53.32168166495804
5512.0,600.0,200.0,200.0,5.6,397.0,112.0
3449.5,500.0,130.0,130.0,5.0,1030.6,75.6
4250.1,500.0,130.0,130.0,5.0,1030.6,125.4
382.0,120.0,60.0,60.0,1.87,282.0,71.54290894985921
350.0,120.0,60.0,60.0,1.87,282.0,71.54290894985921
860.0,200.0,100.0,100.0,1.87,282.0,71.54290894985921
840.0,200.0,100.0,100.0,1.87,282.0,71.54290894985921
1662.0,300.0,150.0,150.0,1.87,282.0,71.54290894985921
1740.0,300.0,150.0,150.0,1.87,282.0,71.54290894985921
2890.0,400.0,200.0,200.0,1.87,282.0,71.54290894985921
2920.0,400.0,200.0,200.0,1.87,282.0,71.54290894985921
3304.0,500.0,250.0,250.0,1.87,282.0,51.43074214832601
3400.0,500.0,250.0,250.0,1.87,282.0,51.43074214832601
318.0,120.0,60.0,60.0,2.0,404.0,42.90322021777928
322.0,120.0,60.0,60.0,2.0,404.0,42.90322021777928
770.0,200.0,100.0,100.0,2.0,404.0,42.90322021777928
772.0,200.0,100.0,100.0,2.0,404.0,42.90322021777928
1300.0,300.0,150.0,150.0,2.0,404.0,42.90322021777928
1420.0,300.0,150.0,150.0,2.0,404.0,42.90322021777928
2054.0,400.0,200.0,200.0,2.0,404.0,42.90322021777928
3100.0,500.0,250.0,250.0,2.0,404.0,42.90322021777928
422.0,120.0,60.0,60.0,2.0,404.0,71.54290894985921
406.0,120.0,60.0,60.0,2.0,404.0,71.54290894985921
2060.0,300.0,150.0,150.0,2.0,404.0,71.54290894985921
1980.0,300.0,150.0,150.0,2.0,404.0,71.54290894985921
1836.0,330.0,110.0,110.0,5.0,750.0,28.0
1832.0,330.0,110.0,110.0,5.0,750.0,28.0
2868.0,480.0,160.0,160.0,5.0,750.0,30.0
2922.0,480.0,160.0,160.0,5.0,750.0,30.0
1835.0,430.0,120.0,120.0,5.0,761.0,20.0
2831.0,580.0,170.0,170.0,5.0,761.0,20.0
1328.0,240.0,80.1,80.4,4.0,756.0,35.5
1462.0,240.0,80.5,80.2,3.98,756.0,85.7
1113.0,300.0,100.2,50.6,3.98,721.0,35.5
1112.0,300.0,100.2,50.7,3.96,721.0,35.5
1211.0,300.0,100.2,50.9,4.0,721.0,85.7
1666.0,300.0,100.4,100.7,3.99,722.0,35.5
1853.0,300.0,100.9,100.6,3.97,722.0,85.7
2992.0,420.0,141.2,140.7,4.94,682.0,35.5
3237.0,420.0,141.0,141.4,4.97,682.0,85.7
3760.0,420.0,141.4,141.1,4.93,682.0,114.9
2785.0,480.0,161.2,161.7,4.01,629.0,35.5
3600.0,480.0,161.5,161.9,4.01,629.0,85.7
1722.0,240.0,80.3,80.5,3.97,1022.0,35.5
1791.0,240.0,80.5,80.2,3.99,1022.0,85.7
2009.0,299.5,100.6,100.6,4.0,980.0,35.5
2177.0,299.5,100.9,100.6,3.97,980.0,85.7
2557.0,360.0,121.9,121.8,3.93,991.0,35.5
2853.0,359.0,121.8,121.8,3.91,991.0,85.7
2798.0,359.0,121.9,121.8,3.93,991.0,85.7
1440.0,500.0,120.0,120.0,5.0,304.0,47.0
1690.0,500.0,120.0,120.0,5.0,438.0,46.0
2040.0,500.0,120.0,120.0,5.0,327.0,96.0
2240.0,500.0,120.0,120.0,5.0,439.0,96.0
1550.0,500.0,120.0,120.0,8.0,323.0,39.0
1670.0,500.0,120.0,120.0,8.0,300.0,46.0
1990.0,500.0,120.0,120.0,8.0,376.0,57.0
2270.0,500.0,120.0,120.0,8.0,323.0,103.0
2680.0,500.0,120.0,120.0,8.0,379.0,103.0
1800.0,500.0,120.0,120.0,8.0,379.0,39.0
2300.0,500.0,120.0,120.0,8.0,364.0,80.0
2290.0,500.0,120.0,120.0,8.0,379.0,80.0
2300.0,500.0,120.0,120.0,8.0,396.0,92.0
1680.0,500.0,120.0,120.0,8.0,379.0,31.0
2430.0,500.0,120.0,120.0,8.0,379.0,92.0
4870.0,500.0,250.0,250.0,8.0,379.0,33.0
8300.0,500.0,250.0,250.0,8.0,379.0,91.0
2137.4,299.25,99.92,100.06,5.99,701.7,55.2
2306.0,298.75,100.3,99.48,5.97,701.7,91.8
2634.9,359.5,120.65,119.57,5.87,732.8,55.2
2892.1,360.15,119.18,120.85,5.95,732.8,91.8
3624.8,780.0,258.0,198.5,4.41,309.27,40.395501478673964
3580.2,780.0,259.0,200.8,4.46,309.27,40.395501478673964
4024.1,960.0,317.5,199.5,4.4,309.27,40.395501478673964
4057.2,960.0,317.5,199.8,4.47,309.27,40.395501478673964
684.74,295.0,92.0,92.0,3.0,420.0,19.200881649841737
1404.35,480.0,151.03,151.03,3.55,341.7,29.492569149708558
1418.68,480.0,150.98,150.98,3.56,341.7,29.492569149708558
2868.0,498.0,200.3,200.3,5.1,268.0,45.906125190682516
2868.0,498.0,200.0,200.0,4.99,268.0,45.906125190682516
18104.0,1250.0,500.3,500.3,12.56,270.0,45.906125190682516
40481.0,1999.0,801.0,801.0,20.35,261.0,45.906125190682516
2549.0,499.0,200.0,200.0,3.97,279.0,45.906125190682516
2549.0,499.0,200.5,200.5,3.68,279.0,45.906125190682516
16690.0,1250.0,500.5,500.5,10.11,276.0,45.906125190682516
61980.0,2499.0,1001.0,1001.0,20.19,261.0,45.906125190682516
2017.0,360.1,118.7,121.9,5.09,430.0,87.8640637185441
2100.0,359.1,120.2,120.6,5.3,430.0,87.8640637185441
2956.0,361.0,119.1,119.2,8.47,464.3,87.8640637185441
3340.0,363.0,119.9,117.8,11.83,399.8,87.8640637185441
2346.0,301.1,99.4,98.0,8.16,508.4,87.8640637185441
3097.0,362.2,118.6,117.7,8.02,508.4,87.8640637185441
3695.0,421.0,138.3,139.7,8.13,508.4,87.8640637185441
3338.0,362.1,120.2,118.2,9.96,543.3,87.8640637185441
3530.0,358.2,119.4,119.3,12.04,488.9,87.8640637185441
3515.0,363.0,116.6,119.4,8.0,730.3,87.8640637185441
4298.0,362.1,116.1,119.4,11.86,683.8,87.8640637185441
2491.0,390.0,130.0,130.0,3.0,737.0,78.0
1156.53,450.0,158.0,158.0,3.0,330.0,23.439265237078715
1784.67,600.0,200.0,200.0,4.0,293.0,24.5775467205337
2082.78,600.0,200.0,200.0,4.0,293.0,30.351246032797743
2448.56,600.0,200.0,200.0,4.0,293.0,39.64863345898974
2362.74,600.0,200.0,200.0,6.0,288.0,24.5775467205337
2320.0,600.0,200.0,200.0,4.0,293.0,35.982716317426814
767.26,350.0,120.0,120.0,2.5,271.7,23.330131137932398
835.69,350.0,120.0,120.0,2.5,271.7,31.522389356767697
950.87,350.0,120.0,120.0,2.5,271.7,39.101355812737886
819.07,350.0,120.0,120.0,3.0,273.5,23.330131137932398
867.28,350.0,120.0,120.0,3.0,273.5,31.522389356767697
1032.9,350.0,120.0,120.0,3.0,273.5,39.101355812737886
952.87,350.0,120.0,120.0,4.0,267.6,23.330131137932398
1008.83,350.0,120.0,120.0,4.0,267.6,31.522389356767697
1174.22,350.0,120.0,120.0,4.0,267.6,39.101355812737886
1082.2,200.0,100.0,100.0,2.8,361.6,71.8
1113.2,400.0,100.0,100.0,2.8,361.6,71.8
1430.35,480.0,150.0,150.0,3.5,341.7,30.88
2982.0,1000.0,250.0,250.0,4.0,351.0,28.94621162680065
4475.0,1000.0,300.0,300.0,5.0,369.0,28.94621162680065
7131.0,1000.0,350.0,350.0,6.0,498.0,28.94621162680065
953.0,300.0,120.0,120.0,2.75,397.82,46.532150314311295
3297.0,600.0,300.0,200.0,2.973,731.9,31.210060074836694
6107.0,600.0,300.0,200.0,2.973,731.9,69.4887969737723
2618.0,600.0,200.0,200.0,2.973,731.9,31.210060074836694
5140.0,600.0,200.0,200.0,2.973,731.9,85.73430751984209
