PS:PAN ratio,Feed rate(mL/h),Distance(cm),Mass fraction of solute,Mass fraction of SiO2 in solute ,Applied voltage(kV),Inner diameter(mm),wca,q,sigma
0.549673655020245,0.6356058394094972,0.8398127161192539,0.8186977166371057,0.0188912161015602,0.7321275272374874,0.4483840591355583,142.76731872558594,65.80018615722656,2.6610679626464844
0.8895607429363831,0.4892741026870482,0.6026307394082165,0.7067956255015214,0.1157077912561186,0.7192946784103545,0.8629160209403922,136.33859252929688,12.259712219238281,5.5809478759765625
0.4935689789013352,0.3849339489494179,0.6929429091662133,0.8564940399545423,0.2727582851571313,0.5764659403574464,0.5566328043011526,143.7643585205078,71.07866668701172,3.580186367034912
0.7811213331099518,0.6521414365803355,0.5756533204638948,0.7192853038100552,0.1611028357812201,0.988805591838969,0.644592247379413,154.57449340820312,74.5822982788086,-1.2916250228881836
0.8556104229952216,0.8780262174875182,0.7761188445771685,0.687548036065039,0.7324907047419774,0.830172474420619,0.4672370516718348,136.73553466796875,43.73987579345703,-0.5506191849708557
0.8583806359690433,0.8234427582625359,0.86327059101259,0.8330558571666548,0.106930979054151,0.7439618019449656,0.7825483329301395,153.04049682617188,54.60695266723633,1.4370088577270508
0.5411989852252426,0.6174839731005386,0.6783587960574726,0.8851495239773319,0.8661132625783159,0.8036827408026984,0.8471679049098289,141.3345184326172,66.07243347167969,-10.430022239685059
0.4685851669330916,0.7368597541308084,0.5839824129881124,0.9512279407397404,0.2222573335054529,0.5911966691530971,0.5466009368067191,148.1578369140625,51.69758987426758,0.005298912990838289
0.6874848285980868,0.6352174477106263,0.6151168159710897,0.9275217663721304,0.1099120655020877,0.6474061885995912,0.9588207383605906,141.3064727783203,37.466617584228516,4.210185527801514
0.5482233486634452,0.7267975486268854,0.9070748426200096,0.9522562156954154,0.0115844249478406,0.8372888546827353,0.3364157804393789,145.99441528320312,70.80262756347656,2.186779260635376
0.8290888374908267,0.6873411678522203,0.6354209485511735,0.9199534019414166,0.715563522240688,0.7912238268944165,0.4060652349955673,153.6779022216797,69.17726135253906,-1.771429419517517
0.6354069625625061,0.7921940820829294,0.8856518612108983,0.9010616063971923,0.257703220004349,0.9064149415510264,0.7163213405166102,145.63446044921875,89.22003173828125,-1.3667985200881958
0.6877943987223429,0.681057228907811,0.6667831842227042,0.6706536831792667,0.5101836583198792,0.8522286808730125,0.7929725534502957,159.59799194335938,43.200950622558594,-4.408444404602051
0.4979055634515589,0.9587439780909144,0.5964758392403182,0.8754189160041114,0.1129326926807874,0.8280316791987898,0.4862012559031717,161.80636596679688,84.75276184082031,-2.589081287384033
0.7546185648499322,0.6299457623715976,0.862262921274285,0.7073354303722064,0.9852257028669046,0.918318105766619,0.692693010683504,127.1376724243164,71.84440612792969,-4.368720054626465
0.5386340921137962,0.3655950156105875,0.7345632039806386,0.686786371655583,0.1266795288620625,0.6029077969042592,0.5322813892779239,136.5029754638672,61.25244140625,4.270046234130859
0.8176203094193081,0.5070081537415894,0.5187716987984232,0.719279760229419,0.4127658652354987,0.8658010331165675,0.6927053630567956,150.83804321289062,48.11085891723633,-1.2299480438232422
0.4739814836570488,0.6765016330885039,0.9770676547748308,0.9409707612213836,0.8517914302961719,0.8762318804244749,0.7643326549469386,108.19419860839844,79.41212463378906,-6.185481071472168
0.9854824515856616,0.7021373317923361,0.5762526622502873,0.9145615922724092,0.2459920422513844,0.6902683135813219,0.9776934008497652,141.21578979492188,-26.776081085205078,3.138746738433838
0.8207531806683357,0.7097147858573893,0.6777426125626147,0.9826841736122144,0.2680418219771918,0.6566947919352254,0.625737621522847,150.5107421875,33.40841293334961,0.48211461305618286
0.536488742883371,0.8137376288167969,0.6932324117628484,0.992724844213132,0.8087099394959969,0.6643806595223537,0.7567698617175558,135.57797241210938,-15.106491088867188,-5.726834297180176
0.4417136984343077,0.5315595474877715,0.7448698803714776,0.9642381519262394,0.2743995855584377,0.6577466740322271,0.7090061931857299,146.00302124023438,65.42781829833984,0.36640673875808716
0.6228389341519831,0.7818904596815142,0.890952753060158,0.7114722728318079,0.0043605768713935,0.7952436945882042,0.5317155544027576,145.399658203125,61.5853271484375,1.96414053440094
0.5201404549746803,0.806989646583753,0.5063419365716129,0.9592845291254826,0.4287282802985706,0.6313508700437456,0.4878219068679065,153.4182891845703,53.36842727661133,-2.7492733001708984
0.5572273568234891,0.6192030597642537,0.9635110371689738,0.9460718925401268,0.0140091351268812,0.8524580264267824,0.9879453412112508,117.6616439819336,107.07159423828125,3.434654712677002
0.9271681774019902,0.6133583546595756,0.8221319723690687,0.9568588260832032,0.909841916808734,0.618452426766457,0.4563692914033277,154.79246520996094,4.606858253479004,1.3859474658966064
0.7747763266464942,0.470157432642993,0.9724812957352876,0.7177085176395946,0.6422882431126427,0.585438490274871,0.8534580914519405,165.7557373046875,8.511252403259277,-0.6731694936752319
0.5335081828014472,0.620939233886497,0.9067178542798382,0.7061087710890989,0.5835826217417129,0.7089001280055027,0.4153517984797383,156.778564453125,81.99871826171875,1.6514371633529663
0.7484612309419885,0.8600917731494477,0.961224241977906,0.9743855458144692,0.202763334338689,0.6550945598150069,0.8630384881181651,148.25970458984375,33.010562896728516,0.18097709119319916
0.5783546908141,0.9384496662547904,0.799929960395402,0.7250688635524299,0.7003289249682301,0.9915320366804188,0.4419919478735929,140.2485809326172,139.27308654785156,-6.388741493225098
0.9856556073295966,0.7361609026172,0.6796682514536143,0.7898246158496226,0.6776734034321645,0.7020202627502314,0.9738469433019478,145.249755859375,-99.50334167480469,-2.580376148223877
0.4522648847821922,0.5474176980692653,0.7219143304843842,0.8188667477296361,0.0618614186047063,0.6678478852459458,0.7824779469771278,139.21261596679688,66.58637237548828,2.6536619663238525
0.847772826254537,0.7930428015469376,0.8280751149851542,0.7086520942207176,0.8809421118456564,0.6571677735981694,0.3769178155961862,138.85568237304688,47.04865646362305,1.7830194234848022
0.8707711159331797,0.8301550692160234,0.7140271183723258,0.6741431086916339,0.5799874344703417,0.7319383693921975,0.7873712330711555,150.24465942382812,-32.365333557128906,-1.7608578205108643
0.4717165953173849,0.5684846043693834,0.8644166643086766,0.9977492632161878,0.7927027546088136,0.8298950929021354,0.726417462003393,133.86593627929688,88.53462982177734,-6.231697082519531
0.5309141214409829,0.8855777411326065,0.5486633513714759,0.958710922254608,0.2639905499131769,0.904249069190902,0.5453220518921982,172.05465698242188,127.6125259399414,-8.417303085327148
