d,b,dia_top,area_top,n_top,c_top,dia_bot,area_bot,n_bot,c_bot,dia_side,area_side,n_side,c_side,n_circle,elastic_modulus_concrete,poisson_ratio_concrete,yield_strength_concrete,density_concrete,elastic_modulus_steel,poisson_ratio_steel,yield_strength_steel,density_steel,A_total,A_concrete,A_reinf_meshed,A_reinf_lumped,cx,cy,Ixx,Iyy,Ixy,Zxx_plus,Zxx_minus,Zyy_plus,Zyy_minus,M_cr,d_nc,I_cracked,cx_cracked,cy_cracked,is_cracked,M_ult,Mx_ult,My_ult,N_ult,d_n_ult,k_u,EI_initial,M_yield,kappa_yield,M_u_curve,kappa_u,row_id
100.0,500.0,5.222222222222222,21.419068431419294,6.0,10.0,15.77777777777778,300.0,8.0,50.0,,,,,24.0,50000.0,0.25,105.0,2.325e-06,195000.0,0.28,400.0,7.7e-06,50000.0,47471.4856351497,0,2528.514364850311,250.0000000000005,51.20073200841097,2135247379300.2168,58086098205997.72,-0.125,43755725591.38069,41703454141.03553,232344392823.99136,232344392823.9904,2820399.3929340574,24.968209782398958,281297543141.2549,249.99999999999997,75.03182223289923,1,29742939.818033706,29742939.818033706,0.0,18.523911513548228,24.916608992238288,0.5916872851797008,2124031953645.4072,1380620.7888007762,6.5e-07,2756182170.421273,0.0013308924988485438,0
200.0,300.0,17.88888888888889,255.55555555555557,3.0,40.0,20.0,277.77777777777777,5.0,50.0,,,,,4.0,27500.0,0.15,75.0,2.15e-06,200000.0,0.28,600.0,7.9e-06,60000.0,57844.44443398678,0,2155.5555660132395,149.99999999999997,98.59966898265195,6232026115151.875,14253615761932.203,-0.01953125,61459622987.67713,63205345205.04693,95024105079.548,95024105079.54803,6568492.152304272,66.34673976065139,2358890085676.4883,149.99999999999991,133.65327117523654,1,97326179.1520395,97326179.1520395,3.166496753692627e-08,-11.558304938429501,51.29617005743303,0.3664012146959502,6222767591796.641,1555691.9021960262,2.5e-07,5332692453.912427,0.0009801758743219178,1
1000.0,100.0,3.111111111111111,7.601878519797524,8.0,30.0,11.555555555555555,104.87489549761482,8.0,20.0,5.75,25.967226777328133,5.0,10.0,20.0,35000.0,0.175,120.0,1.8e-06,210000.0,0.28,500.0,7.850000000000001e-06,100000.00000066141,98892.21359838675,0,1107.786402274626,50.00000000141576,483.6261159851367,326240979229615.0,3057705522430.3086,-2407.6875,631792174873.4769,674572709054.532,61154110450.33777,61154110446.87458,69673124.29186119,269.2885904759562,111200419885423.0,50.00000000446557,730.7114096185579,1,434827062.0103866,434827062.0103866,-0.012452429044060409,-4.661146651415038,59.69098422035926,0.06127039895523989,326239562628908.1,65247912.58626443,2e-07,30068500427.32285,0.00010488784858493988,2
600.0,700.0,1.0,0.7853981633974483,7.0,50.0,3.111111111111111,7.601878519797524,3.0,10.0,5.75,25.967226777328133,5.0,10.0,28.0,42500.0,0.25,60.0,1.975e-06,190000.0,0.28,400.0,7.75e-06,420000.0,419712.02432534663,0,287.9756746533436,350.0000000000006,299.9153961999345,536460599523661.75,733526603198137.2,-2.75,1787697844975.3596,1788706436284.577,2095790294851.8245,2095790294851.817,107582022.53481323,33.34568221852306,6535672109459.625,350.00000000000006,566.6543094059472,1,38469724.48361972,38469724.48361972,1.4528632164001465e-07,15.03957466128486,3.8428979198175424,0.0065306044703790905,536460494900493.94,241407222.6968965,4.5e-07,92787291350.0168,0.00017333429560207944,3
600.0,200.0,17.88888888888889,255.55555555555557,5.0,40.0,11.555555555555555,104.87489549761482,2.0,10.0,,,,,28.0,35000.0,0.25,120.0,2.325e-06,200000.0,0.31,500.0,7.7e-06,120000.0,118512.47242440487,0,1487.5275755950954,100.00000000000003,309.69404463237044,141671180347538.75,14524855729749.266,0.125,488006455699.92926,457455294355.7983,145248557297.4927,145248557297.4926,47248190.08212344,69.97621913209575,11991037304558.094,100.00000000000003,530.0237134333801,1,74924310.23041254,74924310.23041254,-3.259629011154175e-08,24.043135265914316,31.316114280949716,0.053603086448050105,141665633580953.56,49582971.559409365,3.5e-07,21865755661.491947,0.00017683687843560297,4
300.0,400.0,1.0,0.7853981633974483,5.0,20.0,11.555555555555555,166.66666666666666,4.0,40.0,15.25,150.0,1.0,40.0,4.0,20000.0,0.15,60.0,2.5e-06,210000.0,0.32,600.0,7.9e-06,120000.0,119029.40631558231,0,970.5936844176764,200.00000000000003,145.20802487779923,19340508562165.17,35008997240524.047,0.015625,124945162996.31668,133191733572.86075,175044986202.62027,175044986202.6202,17023029.077346105,82.76166691896057,5820799770074.086,200.0000000000002,217.23854723539628,1,117683211.18549734,117683211.18549734,-2.9802322387695312e-08,2.854097116709454,33.81164468532771,0.13300035053975043,19337899571847.203,5801369.896323056,3e-07,6953634903.024754,0.0003870310128411495,5
1000.0,600.0,9.444444444444445,70.05557692032795,3.0,40.0,13.666666666666668,144.44444444444446,4.0,10.0,,,,,28.0,27500.0,0.225,105.0,1.8e-06,190000.0,0.29,550.0,7.7e-06,600000.0,599212.0555054409,0,787.9444945590906,300.0000000000002,498.20692694103957,1403945144556408.0,500667393677290.75,-5.0,2797856765933.166,2817996034652.8027,1668891312257.6372,1668891312257.6345,346510399.5090798,106.79161581050602,91144454881248.5,299.9999999999999,893.208384704522,1,315750574.3240347,315750574.3240347,-1.1175870895385742e-08,22.54769649769878,9.637757475029458,0.009802770783720565,1403943659802085.0,140394365.9802085,1e-07,141933643756.68842,0.0001034437975460474,6
500.0,900.0,5.222222222222222,21.419068431419294,10.0,20.0,7.333333333333334,42.23696789826278,4.0,10.0,1.0,0.7853981633974483,7.0,30.0,8.0,42500.0,0.2,75.0,2.15e-06,195000.0,0.28,450.0,7.850000000000001e-06,450000.0,449605.8658762401,0,394.1341237600201,450.00000000000017,250.06937297358647,401588077915285.75,1296032123975202.0,-2.75,1606798185133.3672,1605906685572.8208,2880071386611.561,2880071386611.559,107988111.83962342,28.362681903010003,7340344063638.156,450.00000000000045,471.6375272547679,1,40128120.03277187,40128120.03277187,-6.094342097640038e-08,23.90707799103035,3.6816870974150246,0.007570295609415797,401587895872223.8,220873342.72107214,5.5e-07,84155414544.0073,0.0002115785180267898,7
300.0,500.0,20.0,255.55555555555557,5.0,40.0,15.77777777777778,188.88888888888889,9.0,40.0,,,,,8.0,27500.0,0.25,75.0,2.5e-06,190000.0,0.28,400.0,7.75e-06,150000.0,147022.22227313844,0,2977.777726861719,249.99999999999991,148.38479380440126,35890606593124.06,94800528173940.81,-0.0625,236721681773.935,241875233121.4919,379202112695.7631,379202112695.76337,25136411.571539436,83.24434240981908,12093122668612.125,249.99999999999994,216.75565375069064,1,170172518.57422745,170172518.57422745,-4.470348358154297e-08,-28.421550973915146,35.992879894317184,0.14276594058687556,35880814316204.13,7176162.840907931,2e-07,14825344282.172422,0.0004885808517108063,8
400.0,1000.0,17.88888888888889,100.0,5.0,20.0,15.77777777777778,255.55555555555557,7.0,30.0,1.0,0.7853981633974483,7.0,40.0,20.0,42500.0,0.175,60.0,2.15e-06,200000.0,0.3,500.0,7.7e-06,400000.0,397700.11554507026,0,2299.8844549294804,500.0000000000005,198.1456049901354,236333985931911.88,1450645544256878.5,-1.75,1170814169888.9553,1192728882094.9507,2901291088513.76,2901291088513.754,71736861.2694179,69.24301849127832,35576557447265.5,500.00000000000006,330.756762383237,1,317292429.79419184,317292429.79419184,-7.281778380274773e-08,-29.212234153088843,22.872463130802753,0.06316421239660476,236325913762570.62,59081478.48893725,2.5e-07,65822556101.937996,0.00029296025322148516,9
